time,treatment,repetition,biomass
0,T0,rep_1,14.0047
12,T0,rep_1,19.9268
24,T0,rep_1,25.0925
36,T0,rep_1,34.3698
48,T0,rep_1,38.3594
60,T0,rep_1,42.6658
72,T0,rep_1,44.5579
84,T0,rep_1,44.0392
96,T0,rep_1,44.1627
108,T0,rep_1,45.6634
120,T0,rep_1,46.775
132,T0,rep_1,47.453
144,T0,rep_1,49.6635
156,T0,rep_1,47.5327
168,T0,rep_1,49.4766
0,T1,rep_1,14.9307
12,T1,rep_1,20.9919
24,T1,rep_1,27.028
36,T1,rep_1,34.2347
48,T1,rep_1,38.3756
60,T1,rep_1,40.5199
72,T1,rep_1,42.0442
84,T1,rep_1,42.301
96,T1,rep_1,42.319
108,T1,rep_1,42.0265
120,T1,rep_1,43.797
132,T1,rep_1,43.9672
144,T1,rep_1,43.9415
156,T1,rep_1,44.3889
168,T1,rep_1,44.3312
0,T2,rep_1,14.1942
12,T2,rep_1,17.2964
24,T2,rep_1,24.4598
36,T2,rep_1,30.1822
48,T2,rep_1,32.6336
60,T2,rep_1,35.1172
72,T2,rep_1,38.3513
84,T2,rep_1,38.186
96,T2,rep_1,42.869
108,T2,rep_1,42.6265
120,T2,rep_1,39.0804
132,T2,rep_1,40.7352
144,T2,rep_1,42.7949
156,T2,rep_1,37.7866
168,T2,rep_1,46.0768
0,T3,rep_1,14.5545
12,T3,rep_1,18.838
24,T3,rep_1,25.0855
36,T3,rep_1,29.1587
48,T3,rep_1,32.282
60,T3,rep_1,33.8712
72,T3,rep_1,36.3055
84,T3,rep_1,34.9264
96,T3,rep_1,36.2325
108,T3,rep_1,33.6115
120,T3,rep_1,38.7245
132,T3,rep_1,39.1174
144,T3,rep_1,39.0238
156,T3,rep_1,38.2213
168,T3,rep_1,37.0669
0,T4,rep_1,14.5048
12,T4,rep_1,18.6591
24,T4,rep_1,25.2402
36,T4,rep_1,31.5681
48,T4,rep_1,35.7329
60,T4,rep_1,37.9722
72,T4,rep_1,40.9591
84,T4,rep_1,38.9706
96,T4,rep_1,41.9198
108,T4,rep_1,40.8001
120,T4,rep_1,42.8226
132,T4,rep_1,40.0914
144,T4,rep_1,45.3365
156,T4,rep_1,43.3764
168,T4,rep_1,42.7134
0,T0,rep_2,14.86993
12,T0,rep_2,19.9892
24,T0,rep_2,25.0898
36,T0,rep_2,35.0509
48,T0,rep_2,38.5298
60,T0,rep_2,42.6928
72,T0,rep_2,44.4128
84,T0,rep_2,44.0392
96,T0,rep_2,44.0824
108,T0,rep_2,46.7791
120,T0,rep_2,45.972
